Simulation_ID,Total_Points,Out_of_Range_Count,Risk_Percentage
sim834,9,3,33.33333333333333
sim835,9,8,88.88888888888889
sim836,9,8,88.88888888888889
sim837,9,4,44.44444444444444
sim838,9,2,22.22222222222222
sim839,9,2,22.22222222222222
sim840,9,6,66.66666666666666
sim841,9,1,11.11111111111111
sim842,9,6,66.66666666666666
sim843,9,8,88.88888888888889
sim844,9,7,77.77777777777779
sim845,9,8,88.88888888888889
sim846,9,8,88.88888888888889
sim847,9,2,22.22222222222222
sim848,9,8,88.88888888888889
sim849,9,7,77.77777777777779
sim850,9,4,44.44444444444444
sim851,9,8,88.88888888888889
sim852,9,4,44.44444444444444
sim853,9,5,55.55555555555556
sim854,9,7,77.77777777777779
sim855,9,7,77.77777777777779
sim856,9,8,88.88888888888889
sim857,9,4,44.44444444444444
sim858,9,2,22.22222222222222
sim859,9,5,55.55555555555556
sim860,9,9,100.0
sim861,9,7,77.77777777777779
sim862,9,7,77.77777777777779
sim863,9,2,22.22222222222222
sim864,9,4,44.44444444444444
sim865,9,5,55.55555555555556
sim866,9,9,100.0
sim867,9,3,33.33333333333333
sim868,9,3,33.33333333333333
sim869,9,7,77.77777777777779
sim870,9,4,44.44444444444444
sim871,9,8,88.88888888888889
sim872,9,5,55.55555555555556
sim873,9,8,88.88888888888889
sim874,9,6,66.66666666666666
sim875,9,4,44.44444444444444
sim876,9,8,88.88888888888889
sim877,9,8,88.88888888888889
sim878,9,2,22.22222222222222
sim879,9,7,77.77777777777779
sim880,9,9,100.0
