Simulation,Risk_Percentage
sim346,0.0
sim347,0.0
sim348,100.0
sim349,0.0
sim350,0.0
sim351,11.11111111111111
sim352,44.44444444444444
sim353,0.0
sim354,0.0
sim355,33.33333333333333
sim356,0.0
sim357,0.0
sim358,44.44444444444444
sim359,0.0
sim360,0.0
sim361,0.0
sim362,0.0
sim363,44.44444444444444
sim364,0.0
sim365,88.88888888888889
sim366,0.0
sim367,0.0
sim368,100.0
sim369,0.0
sim370,0.0
sim371,77.77777777777779
sim372,0.0
sim373,0.0
sim374,33.33333333333333
sim375,0.0
sim376,0.0
sim377,0.0
sim378,0.0
sim379,0.0
sim380,0.0
sim381,11.11111111111111
sim382,0.0
sim383,0.0
sim384,0.0
sim385,0.0
sim386,11.11111111111111
sim387,11.11111111111111
sim388,0.0
sim389,100.0
sim390,44.44444444444444
sim391,0.0
sim392,77.77777777777779
sim393,0.0
sim394,0.0
sim395,0.0
sim396,0.0
sim397,0.0
sim398,44.44444444444444
sim399,0.0
sim400,0.0
sim401,22.22222222222222
sim402,0.0
sim403,44.44444444444444
sim404,0.0
sim405,22.22222222222222
sim406,0.0
sim407,0.0
sim408,88.88888888888889
sim409,0.0
sim410,0.0
sim411,33.33333333333333
sim412,0.0
sim413,0.0
sim414,33.33333333333333
sim415,0.0
sim416,0.0
sim417,0.0
sim418,77.77777777777779
sim419,0.0
sim420,33.33333333333333
sim421,0.0
sim422,0.0
sim423,66.66666666666666
sim424,0.0
sim425,100.0
sim426,0.0
sim427,0.0
sim428,0.0
sim429,0.0
sim430,0.0
sim431,33.33333333333333
sim432,0.0
sim433,0.0
sim434,0.0
sim435,0.0
sim436,100.0
sim437,0.0
sim438,0.0
sim439,22.22222222222222
sim440,0.0
sim441,55.55555555555556
sim442,11.11111111111111
sim443,0.0
sim444,33.33333333333333
sim445,0.0
sim446,0.0
sim447,55.55555555555556
sim448,55.55555555555556
sim449,77.77777777777779
sim450,0.0
sim451,0.0
sim452,0.0
sim453,0.0
sim454,55.55555555555556
sim455,0.0
sim456,11.11111111111111
sim457,0.0
sim458,0.0
sim459,77.77777777777779
sim460,0.0
sim461,11.11111111111111
sim462,0.0
sim463,0.0
sim464,0.0
sim465,0.0
sim466,55.55555555555556
sim467,0.0
sim468,0.0
sim469,55.55555555555556
sim470,66.66666666666666
sim471,0.0
sim472,0.0
sim473,0.0
sim474,0.0
sim475,88.88888888888889
sim476,11.11111111111111
sim477,55.55555555555556
sim478,22.22222222222222
sim479,0.0
sim480,0.0
sim481,0.0
sim482,0.0
sim483,33.33333333333333
sim484,88.88888888888889
sim485,0.0
sim486,0.0
sim487,88.88888888888889
sim488,0.0
sim489,0.0
sim490,88.88888888888889
sim491,0.0
sim492,44.44444444444444
sim493,0.0
sim494,0.0
sim495,11.11111111111111
sim496,0.0
sim497,44.44444444444444
sim498,0.0
sim499,0.0
sim500,0.0
sim501,0.0
sim502,0.0
sim503,88.88888888888889
sim504,0.0
sim505,22.22222222222222
sim506,55.55555555555556
sim507,0.0
sim508,0.0
