ParNum,ParName,High importance & High interaction,High importance & Low interaction,Low importance & High interaction,Low importance & Low interaction
par173,EPCO,0,0,0,10
par174,SLSOIL,0,0,0,10
par175,ESCO,1,6,0,3
par176,EPCO,0,0,0,10
par177,SLSOIL,0,0,0,10
par178,ESCO,5,5,0,0
par179,EPCO,0,0,0,10
par180,SLSOIL,0,0,0,10
par181,ESCO,10,0,0,0
par182,EPCO,0,4,0,6
par183,SLSOIL,0,0,0,10
par184,ESCO,0,0,0,10
par185,EPCO,0,0,0,10
par186,SLSOIL,0,0,0,10
par187,ESCO,4,6,0,0
par188,EPCO,0,0,0,10
par189,SLSOIL,0,0,0,10
par190,ESCO,0,7,0,3
par191,EPCO,0,0,0,10
par192,SLSOIL,0,0,0,10
par193,ESCO,10,0,0,0
par194,EPCO,0,0,0,10
par195,SLSOIL,0,0,0,10
par196,ESCO,0,0,0,0
par197,EPCO,0,0,0,0
par198,SLSOIL,0,0,0,0
par199,ESCO,0,0,0,0
par200,EPCO,0,0,0,0
par201,SLSOIL,0,0,0,0
par202,ESCO,0,0,0,0
par203,EPCO,0,0,0,0
par204,OV_N,0,0,0,0
par205,SLSOIL,0,0,0,0
par206,LAT_SED,0,0,0,0
par207,CN2,0,0,0,0
par208,CN2,0,0,0,0
par209,USLE_P,0,0,0,0
par210,CN2,0,0,0,0
par211,CN2,0,0,0,0
par212,CN2,0,0,0,0
par213,CN2,1,0,6,3
par214,CN2,1,0,3,6
par215,CN2,8,0,1,1
par216,CN2,2,0,1,7
par217,CN2,0,0,0,10
par218,CN2,10,0,0,0
par219,CN2,5,2,2,1
par220,CN2,10,0,0,0
par221,CN2,10,0,0,0
par222,CN2,0,0,0,10
par223,CN2,3,0,4,3
par224,CN2,6,0,2,2
par225,CN2,9,0,1,0
par226,CN2,0,0,0,0
par227,CN2,0,0,0,0
par228,CN2,0,0,0,0
par229,USLE_P,0,0,0,10
par230,CHW2,0,0,0,0
par231,CHD,0,0,0,0
par232,CH_L2,0,0,0,0
par233,CHW2,0,0,0,0
par234,CHD,0,0,0,0
par235,CH_L2,0,0,0,0
par236,CH_L2,0,0,0,0
