0,avg2011,avg2011,max2011,max2011,min2011,min2011,avg2012,avg2012,max2012,max2012,min2012,min2012,avg2013,avg2013,max2013,max2013,min2013,min2013,avg2014,avg2014,max2014,max2014,min2014,min2014,avg2015,avg2015,max2015,max2015,min2015,min2015,avg2016,avg2016,max2016,max2016,min2016,min2016,avg2017,avg2017,max2017,max2017,min2017,min2017,avg2018,avg2018,max2018,max2018,min2018,min2018,avg2019,avg2019,max2019,max2019,min2019,min2019,avg2020,avg2020,max2020,max2020,min2020,min2020
Morris Index,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma,Mu,Sigma
par67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
par68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
par69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
par70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
par71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
par72,0.5844,1.2485,1.28,2.7517,0.1848,0.3701,1.38,3.0153,1.28,2.7517,0.636,1.2922,1.0383,2.2755,2.972,6.601,0.1392,0.2408,0.6583,1.3931,0.12,0.1789,0.0888,0.1414,1.6552,3.6295,4.2,9.2801,0.3908,0.7875,1.0812,2.3581,0.6,1.2329,0.55,1.1966,1.8229,3.9915,3.56,7.6294,1.036,2.2173,1.5245,3.3292,2.64,5.7921,0.6368,1.347,0.6825,1.4713,2.66,5.8477,0.1028,0.1566,0.0831,0.1318,0.16,0.2608,0.0364,0.0599
par73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
par74,1.2484,1.0814,3.084,3.3271,0.6116,0.5415,0.431,0.2604,1.576,1.3367,1.4,1.7298,0.1919,0.2069,1.404,1.1896,1.1348,1.3868,0.6073,0.5761,4.076,4.6567,2.128,1.8285,1.1167,0.9399,2.8,2.881,1.4288,1.4147,0.7479,0.7489,1,0.8602,0.924,1.515,0.8962,0.7323,0.972,1.0881,0.576,0.5885,0.1693,0.1505,1.28,1.6285,0.1736,0.2479,1.019,0.9145,0.816,1.0617,1.5446,1.3177,1.1659,0.9708,2.64,2.3384,0.3592,0.3884
par75,0.000493,0.0011,0.012,0.0268,0,0,0.000612,0.0013,0,0,0.004,0.0089,0.000706,0.0015,0.004,0.0089,0.0008,0.0018,0.000876,0.0018,0.012,0.0268,0.016,0.0358,0.0013,0.0026,0.04,0.0894,0.004,0.0089,0.000448,0.000942,0.04,0.0894,0,0,0.000405,0.000847,0.044,0.0984,0,0,0.000164,0.000338,0,0,0,0,7.23E-05,0.000159,0.04,0.0787,0.0008,0.0018,0.000129,0.000262,0,0,0,0
par76,0.2297,0.1545,0.4,0.4,0.104,0.1098,0.2298,0.1658,0.76,0.6986,0.168,0.161,0.2621,0.2106,1.036,1.0929,0.0684,0.083,0.1287,0.1563,0.2,0.2828,0.0796,0.0972,0.2761,0.1902,0.72,0.7294,0.0244,0.0243,0.0976,0.1224,0.12,0.1789,0.056,0.0817,0.3749,0.3141,0.92,1.1454,0.036,0.0498,0.4526,0.4433,0.76,1.374,0.072,0.0438,0.2557,0.272,0.144,0.1992,0.008,0.0081,0.0132,0.0272,0.04,0.0894,0.0016,0.0036
