Parameter,KS_statistic,p_value
Par1,0.08128700128700128,6.844325866946987e-07
Par2,0.08236808236808237,4.595900143198277e-07
Par3,0.14586014586014587,2.9361160896975597e-21
Par4,0.34747318747318745,1.085800783164423e-120
Par5,0.053419133419133416,0.0031937904526417225
Par6,0.11761475761475762,5.826013301949209e-14
Par7,0.16907764907764908,1.9054879237918875e-28
Par8,0.05233805233805234,0.004130972037344344
Par9,0.06318318318318318,0.000246401384290383
Par10,0.09244101244101244,8.72220331826576e-09
Par11,0.06870870870870871,4.7799929499039885e-05
Par12,0.2124066924066924,9.207605976820257e-45
Par13,0.07807807807807808,2.163863326325608e-06
Par14,0.08281424281424281,3.893339796521136e-07
Par15,0.11641355641355641,1.0982417990427279e-13
Par16,0.052904332904332906,0.003612461900547746
Par17,0.1286829686829687,1.2421965732429468e-16
Par18,0.12202488202488203,5.371320145167122e-15
Par19,0.11406263406263406,3.726546221405374e-13
Par20,0.1685113685113685,2.9386969536395592e-28
Par21,0.11184899184899184,1.1506926250593402e-12
Par22,0.10685542685542686,1.349076110877001e-11
Par23,0.10369798369798369,6.034746626604907e-11
Par24,0.14277134277134276,2.202594688237409e-20
Par25,0.10467610467610468,3.812471317404388e-11
Par26,0.08734448734448734,6.865130299994873e-08
Par27,0.10622050622050622,1.8299764861477935e-11
Par28,0.0793993993993994,1.354667519996673e-06
Par29,0.10203346203346203,1.3054134666909788e-10
Par30,0.17312741312741312,8.235477479031547e-30
Par31,0.133985413985414,5.352587911100713e-18
Par32,0.10318318318318319,7.671448932234192e-11
Par33,0.11262119262119262,7.78481498913237e-13
Par34,0.11852423852423852,3.589335219946235e-14
Par35,0.06965250965250966,3.562909016280319e-05
Par36,0.15195195195195196,4.8535361445825256e-23
Par37,0.10936078936078936,3.9792914541915165e-12
Par38,0.07282711282711282,1.2874719137450314e-05
Par39,0.16235092235092236,2.974612986007471e-26
Par40,0.09846417846417846,6.544985577116176e-10
Par41,0.08902616902616903,3.520694305063724e-08
Par42,0.12674388674388673,3.799092362508084e-16
Par43,0.0868983268983269,8.178270288522598e-08
Par44,0.07934791934791935,1.3798164681482089e-06
Par45,0.09261261261261261,8.120252698138502e-09
Par46,0.10864006864006864,5.670291657333639e-12
Par47,0.09803517803517804,7.913627187993654e-10
Par48,0.1508022308022308,1.0665708243436725e-22
Par49,0.09262977262977264,8.062332352884621e-09
Par50,0.13503217503217504,2.833891573567245e-18
Par51,0.10812526812526813,7.291811415154818e-12
Par52,0.08283140283140283,3.868507360028672e-07
Par53,0.08255684255684256,4.284856195198663e-07
Par54,0.1474045474045474,1.0545547865508514e-21
Par55,0.3638095238095238,1.4827554316941462e-132
