Parameter,KS_statistic,p_value
Par1,0.143849972421401,3.05548666907812e-12
Par2,0.15063660599374884,2.1938896353351065e-13
Par3,0.21111647361647362,5.817547468030018e-26
Par4,0.4559661702518845,1.5417391246888324e-123
Par5,0.09377413127413127,1.9069959784647747e-05
Par6,0.1836596800882515,1.018933285597597e-19
Par7,0.16355947784519212,1.0347777972044192e-15
Par8,0.14613210148924435,1.2776297905555437e-12
Par9,0.13699209413495128,3.860661678050679e-11
Par10,0.19753171538885825,9.23738830287412e-23
Par11,0.14954954954954955,3.3731541558946546e-13
Par12,0.26036036036036037,2.0084685475044077e-39
Par13,0.15524453024453025,3.4200946680286895e-14
Par14,0.16605993748850892,3.4851205637687244e-16
Par15,0.1648533737819452,5.904732321656882e-16
Par16,0.17297067475638905,1.577272063951088e-17
Par17,0.14884169884169884,4.4559700939840156e-13
Par18,0.1261537047251333,1.6468045433882616e-09
Par19,0.1373873873873874,3.346928033954796e-11
Par20,0.26352270637984926,2.175816152338391e-40
Par21,0.16018799411656554,4.3709620964877545e-15
Par22,0.1522476558190844,1.152970086137126e-13
Par23,0.17306260341974627,1.512345759861736e-17
Par24,0.15263835263835263,9.853766458963112e-14
Par25,0.12268569589998161,5.123265162375084e-09
Par26,0.09649062327633756,9.675224261931103e-06
Par27,0.19116105901820188,2.4610490780729528e-21
Par28,0.22375206839492554,3.888940457410494e-29
Par29,0.3403520867806582,1.083881193515053e-67
Par30,0.29617576760433906,4.415997508268881e-51
Par31,0.11986118771833057,1.2610881562401427e-08
Par32,0.09966446037874609,4.272228352852515e-06
Par33,0.24629757308328737,2.798839351545103e-35
Par34,0.24386835815407243,1.376227568002078e-34
Par35,0.1266087516087516,1.4155902287339836e-09
Par36,0.1619415333701048,2.073878059464138e-15
Par37,0.1430226144511859,4.177085825880142e-12
Par38,0.15560075381503952,2.9553545241119725e-14
Par39,0.16050284978856408,3.825633485000437e-15
Par40,0.20876080161794447,2.1654194147798974e-25
Par41,0.2371713550284979,1.0181974073507999e-32
Par42,0.22548722191579335,1.376359124283139e-29
Par43,0.1351466262180548,7.478181091305795e-11
Par44,0.13453300239014523,9.298133251005825e-11
Par45,0.18518799411656556,4.831820807637464e-20
Par46,0.1688361831218974,1.020715024729309e-16
Par47,0.15094916344916345,1.937529142995285e-13
Par48,0.2581081081081081,9.607522856911157e-39
Par49,0.10190981798124656,2.357928132058187e-06
Par50,0.13746322853465712,3.256320298440235e-11
Par51,0.13835034013605443,2.359471873342558e-11
Par52,0.14487957345100202,2.065316929279689e-12
Par53,0.1529187350615922,8.801148988346725e-14
Par54,0.21138536495679353,5.0022876541419493e-26
Par55,0.4788104430961574,7.71967910875052e-137
