ReturnPeriod_yr,Q_mean,Q_DCL,Q_UCL
2,459.47879502709316,389.03653102155545,538.8997314851061
5,693.8079636492455,559.5549773329012,830.3918442083964
10,848.9542629308507,661.8816078147476,1035.0942170261233
25,1044.9820233580251,791.2796624912237,1292.615397258021
50,1190.4066142764405,887.2684984641558,1481.79434626923
100,1334.757412842935,983.0363895207769,1672.8207541715994
