Year,Type,Method,Group,Count,ParNums
2013,avg,Quadrant_Group,Low importance & Low interaction,50,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par80,par81,par87,par99,par111,par114,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par195,par213,par214,par229"
2013,avg,Quantile70_Group,High importance & High interaction,25,"par72,par77,par83,par89,par90,par92,par94,par95,par102,par106,par107,par112,par113,par116,par118,par119,par172,par178,par181,par193,par218,par219,par220,par221,par225"
2013,avg,Quantile70_Group,High importance & Low interaction,7,"par47,par101,par160,par163,par175,par187,par190"
2013,avg,Quantile70_Group,Low importance & High interaction,7,"par78,par82,par84,par86,par96,par100,par224"
2013,avg,Quantile70_Group,Low importance & Low interaction,67,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par74,par75,par76,par80,par81,par87,par88,par98,par99,par104,par108,par110,par111,par114,par117,par157,par158,par159,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par213,par214,par215,par216,par217,par222,par223,par229"
2013,avg,Cluster,0,20,"par72,par83,par89,par90,par94,par102,par106,par107,par112,par113,par116,par118,par172,par178,par187,par193,par218,par219,par220,par225"
2013,avg,Cluster,1,80,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par74,par75,par76,par78,par80,par81,par82,par84,par86,par87,par88,par96,par98,par99,par100,par101,par104,par108,par110,par111,par114,par117,par157,par158,par159,par160,par161,par162,par163,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par213,par214,par215,par216,par217,par222,par223,par224,par229"
2013,avg,Cluster,2,6,"par77,par92,par95,par119,par181,par221"
2014,avg,Quadrant_Group,High importance & High interaction,50,"par47,par72,par74,par77,par83,par84,par86,par89,par90,par92,par94,par95,par96,par100,par101,par102,par104,par106,par107,par112,par113,par116,par118,par119,par157,par160,par163,par166,par172,par175,par178,par181,par182,par184,par187,par190,par193,par213,par214,par215,par216,par217,par218,par219,par220,par221,par222,par223,par224,par225"
2014,avg,Quadrant_Group,High importance & Low interaction,3,"par164,par169,par173"
2014,avg,Quadrant_Group,Low importance & High interaction,3,"par78,par82,par110"
2014,avg,Quadrant_Group,Low importance & Low interaction,50,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par80,par81,par87,par88,par98,par99,par108,par111,par114,par117,par158,par159,par161,par162,par165,par167,par168,par170,par171,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par194,par195,par229"
2014,avg,Quantile70_Group,High importance & High interaction,24,"par77,par89,par90,par92,par95,par107,par118,par119,par157,par163,par172,par181,par193,par213,par214,par215,par216,par218,par219,par220,par221,par223,par224,par225"
2014,avg,Quantile70_Group,High importance & Low interaction,8,"par83,par116,par160,par166,par175,par178,par187,par190"
2014,avg,Quantile70_Group,Low importance & High interaction,8,"par72,par82,par84,par94,par102,par106,par112,par113"
2014,avg,Quantile70_Group,Low importance & Low interaction,66,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par74,par75,par76,par78,par80,par81,par86,par87,par88,par96,par98,par99,par100,par101,par104,par108,par110,par111,par114,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par217,par222,par229"
